,1_sentence,2_y_predict,3_y_predict_name,4_answer,5_y_predict_probability
1697,"R,D,資訊,系統,ProE,借不到,License,錯誤,視窗,96,License,server,machine,is,down,or,not,responding,這是,serve,問題,原因,已經,先連,Quanta,SSLVPN,我人,美國,出差,能否,盡速,問題",5,SAP-2X8(QSMC),3,"[1.6359715e-02 7.8950651e-02 1.5691797e-01 2.1828044e-02 4.5610743e-04
 5.6589502e-01 1.3179539e-01 2.7797122e-02]"
1430,"SAP,168,QCI,無法,登入",0,BPM平台系統,4,"[8.4829432e-01 1.8812934e-05 3.6225963e-05 2.0926667e-05 1.4552291e-01
 5.4694833e-03 6.1812403e-04 1.9161387e-05]"
31121,"網管,目前,CSMC,出差,電腦,無故,自動,登出,重新,開機,後,輸入,帳號,密碼,無法,使用,網路,無法,正常,收信,關掉,PROXY,則會,當機",3,R&D資訊系統,7,"[4.0887033e-05 4.6438795e-02 1.9350672e-02 9.0130830e-01 1.1324112e-04
 3.0376611e-04 1.7181642e-02 1.5262614e-02]"
8745,"SAP,168,QCI,帳號,無法,登入,鼎天,Mike,1933",0,BPM平台系統,4,"[9.2530602e-01 1.9168678e-05 3.5092457e-05 1.9326761e-05 6.8144225e-02
 5.8127805e-03 6.5023673e-04 1.3132617e-05]"
9282,"SAP,168,QCI,SO,Delvery,做好,SI,無法,送出,168",0,BPM平台系統,4,"[9.87313211e-01 2.17746074e-05 3.19264218e-05 1.43608195e-05
 4.52035200e-03 7.37721473e-03 7.16901093e-04 4.25584085e-06]"
5857,"內部,資訊,系統,廣達,學院,課程,影片,無法,撥放",2,GOC,6,"[4.0864598e-04 2.5203902e-01 3.6204067e-01 1.3205588e-01 9.8617842e-05
 1.7634235e-02 2.2787175e-01 7.8512719e-03]"
8467,"SAP,168,QCI,user,反應,說,SAP,PDM,底下,開出,BOM,一致,號碼,241w5la0052,1741",0,BPM平台系統,4,"[7.9046893e-01 2.5866830e-05 4.9313858e-05 2.9409375e-05 2.0196739e-01
 6.6069518e-03 8.2826597e-04 2.3866553e-05]"
4970,"SAP,168,QCI,user,反應,說,使用,ZN26,時會,出現,ERROR,MESSAGE,解決,2611",0,BPM平台系統,4,"[9.8434424e-01 3.3192020e-05 4.7202775e-05 2.0919753e-05 4.6688146e-03
 9.8261368e-03 1.0543996e-03 5.0425069e-06]"
8857,"SAP,168,QCI,User,無法,透過,Thin,Client,列印",0,BPM平台系統,4,"[9.8457438e-01 2.2391607e-05 3.4065455e-05 1.5922882e-05 7.2693150e-03
 7.3348191e-03 7.4391218e-04 5.1844022e-06]"
1673,"SAP,168,QCI,user,帳號,無法,登入",0,BPM平台系統,4,"[9.5956045e-01 1.9583738e-05 3.3995871e-05 1.7877666e-05 3.3559091e-02
 6.1280751e-03 6.7152403e-04 9.4475708e-06]"
4148,"內部,資訊,系統,Lync,大陸,無法,撥新,家用,電話,號碼,查詢,中華,電信,回覆,公司,網管,問題,家用,電話,03,99",3,R&D資訊系統,6,"[2.8004457e-05 7.6638132e-02 4.0986292e-02 4.8546001e-01 8.4159117e-05
 6.7882665e-04 5.8948942e-03 3.9022970e-01]"
4810,"BPM,平台,系統,NB,Adapter,無法,充電,換新,Adapter,",3,R&D資訊系統,0,"[7.41239492e-05 1.20370783e-01 7.54264444e-02 6.74780250e-01
 1.13679656e-04 1.58127770e-03 2.12110244e-02 1.06442407e-01]"
501,"BPM,平台,系統,無法,申,今日,點有,訪客",2,GOC,0,"[4.7247708e-04 2.6904440e-01 4.1365272e-01 9.5524594e-02 9.9361736e-05
 3.1059597e-02 1.7492694e-01 1.5219906e-02]"
465,"BPM,平台,系統,無法,結單",2,GOC,0,"[5.4696621e-04 2.7476570e-01 4.3263292e-01 8.0175534e-02 1.0550588e-04
 4.3158978e-02 1.4173499e-01 2.6879413e-02]"
853,"BPM,平台,系統,簽核,人員,已,離職,需,修改,382",3,R&D資訊系統,0,"[4.9038561e-05 9.7655483e-02 5.5234306e-02 6.5017051e-01 1.0931004e-04
 1.0571238e-03 1.2111263e-02 1.8361293e-01]"
2138,"CAMP,昨天,用版,CAMP,開,BPM,時,無法,正常,顯示,加載,轉圈,中",3,R&D資訊系統,1,"[4.2351472e-05 8.2370974e-02 4.9799796e-02 4.3019649e-01 8.7580644e-05
 1.1961332e-03 7.1880016e-03 4.2911863e-01]"
655,"SAP,2X8,QSMC,SAP168,218,LOGON,BALANCE,ERROR,88",6,內部資訊系統,5,"[0.00306559 0.18140425 0.29234475 0.04692951 0.0004363  0.12912384
 0.342175   0.00452077]"
3286,"BPM,平台,系統,收發室,無法,MRO,收料,系統,顯示,錯誤",6,內部資訊系統,0,"[1.1768361e-03 4.2226776e-02 4.9068235e-02 8.7730765e-02 1.4639238e-04
 5.7114004e-03 8.1387770e-01 6.1864244e-05]"
953,"BPM,平台,系統,使用,反應,查詢,表單,無,反應",2,GOC,0,"[2.59826367e-04 2.84910172e-01 3.65735263e-01 1.85790509e-01
 8.97831924e-05 1.47097120e-02 1.18464634e-01 3.00401095e-02]"
5478,"SAP,168,QCI,離職,人員,帳號,已,停用,移轉,再,使用",0,BPM平台系統,4,"[9.8622280e-01 2.5182047e-05 3.6753332e-05 1.6663027e-05 4.9390891e-03
 7.9223048e-03 8.3281263e-04 4.4436920e-06]"
842,"R,D,資訊,系統,目前,PMA,platform,control,只,看到,NB2,OLPC,Carol,Lin,長假,需要,MIS,權限,開成,Carol,Lin,需要,NB2,TPG,NB2,IPG,白牌,控制,操作,權,麻再,開一次,THANK,YOU",7,網管,3,"[1.0646147e-05 3.2562550e-02 1.5844574e-02 2.5195202e-01 5.2228846e-05
 2.6344214e-04 1.9944764e-03 6.9732010e-01]"
776,"SAP,2X8,QSMC,使用,無法,查詢,物料,成本,資料",6,內部資訊系統,5,"[0.00272198 0.19097595 0.3085149  0.04869889 0.00039772 0.12385948
 0.31949073 0.00534034]"
6324,"內部,資訊,系統,會議室,預約,每個,月,兩次,申,機會,本月,僅申,一次,忘了,開啟,鎖住,導至,所有,會議室,無法,申,想問,會議室,借用,相關,事誼,每個,月,兩次,申,機會,一次,忘了,開啟,鎖住,鎖住,期限,多久",3,R&D資訊系統,6,"[9.9195087e-05 1.3664643e-01 8.9840591e-02 6.8415409e-01 1.3295191e-04
 1.5445648e-03 3.3709537e-02 5.3872563e-02]"
9044,"SAP,168,QCI,user,做銷,退,Delivery,查不到,refrence,Billing,出不來,相關,同仁",0,BPM平台系統,4,"[9.82148945e-01 1.93180549e-05 3.06777874e-05 1.48566805e-05
 1.06699122e-02 6.45383028e-03 6.56746735e-04 5.71235569e-06]"
11790,"內部,資訊,系統,無法,預約,會議室",2,GOC,6,"[7.6283462e-04 2.2178660e-01 3.4232458e-01 9.4912134e-02 1.4999030e-04
 2.8784020e-02 3.0642432e-01 4.8554917e-03]"
1179,"BPM,平台,系統,aaaa",2,GOC,0,"[5.8161508e-04 2.7435455e-01 4.3390745e-01 7.6844931e-02 1.0855679e-04
 4.7421250e-02 1.3594736e-01 3.0834297e-02]"
1416,"SAP,168,QCI,無法,登入,168",0,BPM平台系統,4,"[9.4337201e-01 1.8745352e-05 3.3642860e-05 1.8182971e-05 5.0086461e-02
 5.8180541e-03 6.4162159e-04 1.1276999e-05]"
6808,"SAP,168,QCI,10,17,no,call,off",0,BPM平台系統,4,"[9.8003262e-01 1.8522054e-05 2.9971681e-05 1.4934387e-05 1.3257413e-02
 5.9944680e-03 6.4618362e-04 5.8748697e-06]"
5342,"SAP,168,QCI,F110,改,總表,帳號",0,BPM平台系統,4,"[9.8649430e-01 1.6124022e-05 2.5128542e-05 1.1971745e-05 7.3611205e-03
 5.5272309e-03 5.5982161e-04 4.3214586e-06]"
2541,"內部,資訊,系統,10,正常,33,上班,10,左右,刷卡,下班,下班,出勤,紀錄,08,33,日期,上班,時間,下班,時間,003,0833,0833,收到,信,出勤,異常,您好,提醒,005,為止,尚有,10,月,筆,出勤,異常,出勤,系統,提醒,主管,進行,簽核",7,網管,6,"[3.9997827e-05 8.1196636e-02 4.9606942e-02 3.8290465e-01 9.3020884e-05
 9.2973973e-04 6.2829112e-03 4.7894612e-01]"
1346,"SAP,168,QCI,之前,已,透過,資訊,需求,申單,申,General,Authorization,申,User,ID,第二層,帳號,單號,app75,已,user,收到,帳號,密碼",0,BPM平台系統,4,"[9.6781522e-01 1.4853120e-04 1.8871982e-04 8.6484259e-05 4.4085737e-03
 2.2302033e-02 5.0427448e-03 7.8032790e-06]"
5980,"SAP,168,QCI,原本,工號,4z9,目前,派遣,轉,正職,新工,號,401,資訊,帳號,權限,直接,移轉,過來,麻煩,我將,原本,SAP34,22,權限,關閉,開通,SAP33,權限,需要,使用,218,zv17i,可用,部門,主管,工號,011,進入",0,BPM平台系統,4,"[7.7592498e-01 2.5354810e-03 3.3788236e-03 9.4446715e-04 8.6067487e-03
 1.6073227e-01 4.7773451e-02 1.0374946e-04]"
2814,"BPM,平台,系統,系統,卡住,無法,使用",2,GOC,0,"[5.0596398e-04 2.4851128e-01 3.7486038e-01 1.0841329e-01 1.0630045e-04
 2.4958918e-02 2.3458458e-01 8.0592884e-03]"
4285,"BPM,平台,系統,使用,詢問,MRO,相關,問題",5,SAP-2X8(QSMC),0,"[5.7994211e-03 4.7755484e-02 9.0980455e-02 8.2824677e-03 1.3826470e-04
 7.5498259e-01 8.3612621e-02 8.4487498e-03]"
9779,"SAP,168,QCI,Down,BOM,無,動作",0,BPM平台系統,4,"[9.8802209e-01 1.9597352e-05 2.8986828e-05 1.3153275e-05 4.5759757e-03
 6.6775815e-03 6.5862137e-04 3.9662468e-06]"
471,"BPM,平台,系統,需求,內容,無線,網路,申,會議室,申單,加入,時,出現,錯誤",3,R&D資訊系統,0,"[1.71170657e-04 9.04480815e-02 5.74266091e-02 7.26336360e-01
 1.25085746e-04 1.21071225e-03 1.21580996e-01 2.70106108e-03]"
6636,"SAP,168,QCI,User,cannot,save,SO,Credit,limit,error",0,BPM平台系統,4,"[9.8645973e-01 1.9609366e-05 2.9754216e-05 1.3813974e-05 6.1981720e-03
 6.6122659e-03 6.6220626e-04 4.5134971e-06]"
2133,"CAMP,登录,CAMP,后,出现,以下,情况,请,帮忙,处理,谢谢,IE,無法,顯示,網頁",3,R&D資訊系統,1,"[1.5337812e-04 2.0802048e-01 1.9311242e-01 3.5812721e-01 9.9016834e-05
 6.8824883e-03 3.5720207e-02 1.9788483e-01]"
21460,"BPM,平台,系統,帳號,密碼,無法,認證,進入,QEx,學習,互動,平台,上課",2,GOC,0,"[5.4466835e-04 2.5173888e-01 3.8576886e-01 1.0031680e-01 1.1478639e-04
 2.8087119e-02 2.2434218e-01 9.0866778e-03]"
1109,"SAP,168,QCI,無法,登入",0,BPM平台系統,4,"[8.4829432e-01 1.8812934e-05 3.6225963e-05 2.0926667e-05 1.4552291e-01
 5.4694833e-03 6.1812403e-04 1.9161387e-05]"
6660,"SAP,168,QCI,無法,維護,客戶,料號,382",0,BPM平台系統,4,"[5.0641739e-01 1.8053801e-05 3.6761259e-05 2.3515897e-05 4.8850566e-01
 4.4343807e-03 5.3032394e-04 3.3927088e-05]"
2554,"BPM,平台,系統,MRO,填寫,日期,時,要求,重新,輸入,正確,日期",2,GOC,0,"[5.2755594e-04 2.6133737e-01 4.0149468e-01 9.6393026e-02 1.0920659e-04
 3.2211974e-02 1.9536461e-01 1.2561561e-02]"
7643,"SAP,168,QCI,down,BOM,down,下來",0,BPM平台系統,4,"[9.8838508e-01 2.3392302e-05 3.2710283e-05 1.3857657e-05 2.6090802e-03
 8.1847450e-03 7.4732397e-04 3.7425721e-06]"
7822,"SAP,168,QCI,citrix,issue",0,BPM平台系統,4,"[6.9723117e-01 1.7239816e-05 3.4646928e-05 2.1111466e-05 2.9742727e-01
 4.7007035e-03 5.4157467e-04 2.6285372e-05]"
7497,"SAP,168,QCI,點,CSAP22,出現,已,完成,網頁,發生,錯誤",0,BPM平台系統,4,"[9.8519415e-01 3.6328805e-05 4.9260147e-05 2.0963811e-05 2.8002672e-03
 1.0737269e-02 1.1574137e-03 4.3978753e-06]"
911,"BPM,平台,系統,申者,cancel,此張,單號,APP50,RD,試產,購申單",3,R&D資訊系統,0,"[1.5944720e-04 2.2142020e-01 2.0243159e-01 4.1149634e-01 1.0604349e-04
 6.3498551e-03 4.8338190e-02 1.0969832e-01]"
9253,"SAP,168,QCI,人,達丰,NB3,業務,使用,SAP168,ZN95,代,PO,Number,相關,同仁",0,BPM平台系統,4,"[9.8468798e-01 3.5863442e-05 5.0050250e-05 2.2240611e-05 4.1674674e-03
 9.8647838e-03 1.1669194e-03 4.6223777e-06]"
2825,"BPM,平台,系統,出差旅費,申報單,無法,開啟",2,GOC,0,"[6.1240210e-04 2.6707664e-01 4.2239434e-01 8.0493689e-02 1.1832273e-04
 4.3908261e-02 1.6618083e-01 1.9215586e-02]"
1332,"BPM,平台,系統,要申,集團,代碼",2,GOC,0,"[1.3157082e-03 2.4143110e-01 3.9466637e-01 5.5594705e-02 1.6421441e-04
 1.2114700e-01 1.4885363e-01 3.6827236e-02]"
2525,"內部,資訊,系統,出差,大陸,無法,連上,出勤,系統,無法,申,補登,加班",5,SAP-2X8(QSMC),6,"[2.3925563e-02 6.5285671e-03 1.2277967e-02 1.5513274e-03 2.5232258e-04
 8.8531262e-01 6.9926038e-02 2.2553217e-04]"
36210,"網管,出差,中,硬碟,壞,換了,一顆,硬碟,原本,WIN7,備份,檔案,還原,回去,之後,開,LYNC,MSN,出現,gdiplus,dll,檔案,不見,無法,開啟",3,R&D資訊系統,7,"[3.3407396e-05 6.7260891e-02 3.1457301e-02 7.0546442e-01 1.1272137e-04
 6.0389919e-04 8.5562179e-03 1.8651108e-01]"
4824,"R,D,資訊,系統,系統,無法,記錄,設備,借出,歸還",6,內部資訊系統,3,"[5.2753551e-04 7.6834299e-02 6.5421298e-02 3.6887166e-01 1.5190522e-04
 2.7824882e-03 4.8505044e-01 3.6034491e-04]"
2531,"內部,資訊,系統,無法,假,電腦,找,到,IE",2,GOC,6,"[3.4401441e-04 2.5947830e-01 3.5783395e-01 1.5405518e-01 9.3959650e-05
 1.4551953e-02 2.0410644e-01 9.5361853e-03]"
5352,"SAP,168,QCI,CSAP33,無法,登入",0,BPM平台系統,4,"[8.4829432e-01 1.8812934e-05 3.6225963e-05 2.0926667e-05 1.4552291e-01
 5.4694833e-03 6.1812403e-04 1.9161387e-05]"
4667,"SAP,168,QCI",0,BPM平台系統,4,"[5.6401420e-01 1.4944516e-05 3.0770847e-05 1.9366624e-05 4.3152988e-01
 3.9082244e-03 4.5290560e-04 2.9673110e-05]"
1048,"BPM,平台,系統,任用,建議表,送出,時,出現,錯誤,畫面",2,GOC,0,"[4.9174885e-04 2.2246794e-01 3.1389335e-01 1.4003694e-01 1.0991179e-04
 1.5488750e-02 3.0341968e-01 4.0916572e-03]"
4579,"SAP,2X8,QSMC,user,報價,會計,維護,料號,成本,會計,回覆,此料號,lock,住",2,GOC,5,"[0.00304601 0.1886713  0.3065671  0.04489598 0.00041931 0.15385741
 0.29629505 0.00624788]"
2935,"SAP,2X8,QSMC,268,找不到,301,ACC,user,說,以前",2,GOC,5,"[1.3765704e-03 2.1889013e-01 3.4999123e-01 6.7115992e-02 2.5522438e-04
 5.8545772e-02 2.9768574e-01 6.1393543e-03]"
1704,"SAP,168,QCI,工號,613,姓名,蔡承豐,電話,MVPN,電腦,AT6,機種,無法,進入,windows,系統,需,重灌,GHOST,C,槽",0,BPM平台系統,4,"[9.8198432e-01 4.7660415e-05 6.6374268e-05 3.2444750e-05 6.3852514e-03
 9.7682420e-03 1.7111759e-03 4.5682250e-06]"
8317,"SAP,168,QCI,無法,列印,資料",0,BPM平台系統,4,"[9.7648650e-01 1.7680155e-05 2.9354944e-05 1.4783512e-05 1.6977539e-02
 5.8556427e-03 6.1181339e-04 6.6976318e-06]"
61,"GOC,新灌,Pro,e,無法,開機",5,SAP-2X8(QSMC),2,"[5.7684956e-03 3.2170612e-02 5.9586730e-02 5.0145383e-03 1.2512159e-04
 8.3486348e-01 5.6080218e-02 6.3908240e-03]"
3931,"BPM,平台,系統,電腦,外帶,攜出,申單,帶出,員工,舊,資產,編號,需,帶出,新,資產,編號",3,R&D資訊系統,0,"[2.9670009e-05 7.4947678e-02 3.6891855e-02 6.2146819e-01 9.8688135e-05
 6.0051127e-04 7.1838726e-03 2.5877953e-01]"
2043,"SAP,168,QCI,batch,無法,扣帳",0,BPM平台系統,4,"[9.7910792e-01 1.6351052e-05 2.6986776e-05 1.3527345e-05 1.4776574e-02
 5.4804673e-03 5.7218852e-04 5.9833251e-06]"
2561,"BPM,平台,系統,MRO,收料,系統,錯誤",6,內部資訊系統,0,"[1.05863484e-03 5.14097214e-02 5.92766739e-02 1.03311814e-01
 1.42677934e-04 5.97326970e-03 7.78737426e-01 8.98169455e-05]"
1285,"BPM,平台,系統,無法,加簽,user,537",2,GOC,0,"[5.06600947e-04 2.74734497e-01 4.30295587e-01 8.47610682e-02
 1.01977545e-04 3.79971936e-02 1.48584068e-01 2.30190773e-02]"
1487,"R,D,資訊,系統,Pro,e,使用,中會,跳出來,加,RAM,8G,還會,跳出來",2,GOC,3,"[6.04497094e-04 2.31488511e-01 3.49783868e-01 1.08888321e-01
 1.10108835e-04 2.97558587e-02 2.73130625e-01 6.23818533e-03]"
609,"SAP,2X8,QSMC,使用,重裝,電腦,安裝,LaserJet6P,Q412,印表機",2,GOC,5,"[0.0025931  0.20314272 0.32942867 0.04791209 0.00038828 0.13408424
 0.2747346  0.00771634]"
3455,"CAMP,無法,登入,目前,人,外面,許多,單子,需",2,GOC,1,"[2.3493395e-04 2.9045463e-01 3.7192008e-01 1.7526704e-01 8.3444917e-05
 1.5997622e-02 8.5951537e-02 6.0090736e-02]"
9621,"內部,資訊,系統",2,GOC,6,"[1.1427833e-03 2.3366551e-01 3.7916601e-01 6.7158781e-02 1.8878067e-04
 6.8821944e-02 2.3995136e-01 9.9048270e-03]"
509,"BPM,平台,系統,出現,bpm,portal,error,錯誤",3,R&D資訊系統,0,"[1.62460565e-04 1.95783406e-01 1.66305810e-01 5.25329947e-01
 1.17212534e-04 4.19601146e-03 7.04820156e-02 3.76231708e-02]"
3168,"內部,資訊,系統,假錯,天且,簽核,完畢,問,需要",3,R&D資訊系統,6,"[1.2254443e-04 1.7462547e-01 1.3520673e-01 5.7956386e-01 1.1476643e-04
 2.9900067e-03 4.5577008e-02 6.1799668e-02]"
1157,"BPM,平台,系統,無法,列印",2,GOC,0,"[5.4409058e-04 2.7430084e-01 4.3132478e-01 8.1088267e-02 1.0553634e-04
 4.2413455e-02 1.4489041e-01 2.5332576e-02]"
1453,"SAP,168,QCI,user,修改,T,code,ZV6T,功能",0,BPM平台系統,4,"[9.84249175e-01 2.05111155e-05 3.17207632e-05 1.51015365e-05
 8.26050714e-03 6.72204047e-03 6.95770315e-04 5.15622560e-06]"
3673,"SAP,168,QCI,財務部,成本,會計,課,user,反應,先前,Jim,NET,寫,一支,report,程式,用於,國稅局,報廢,清冊,user,反應,欄位,長度,小,導致,數字,無法,正常,顯示,Jim",0,BPM平台系統,4,"[9.72557366e-01 1.14762144e-04 1.46968610e-04 6.58402860e-05
 4.58978303e-03 1.88756902e-02 3.64192855e-03 7.54539724e-06]"
28461,"網管,目前,人,出差,電腦,開機,後,出現,無法,修復,後,無法,開機,影響,工作,可否,遠端,連絡,方式,457",5,SAP-2X8(QSMC),7,"[5.1063481e-03 1.4004606e-01 2.5062886e-01 6.6129752e-02 2.6285578e-04
 2.9321042e-01 2.1534154e-01 2.9274235e-02]"
1107,"SAP,168,QCI,無法,登入",0,BPM平台系統,4,"[8.4829432e-01 1.8812934e-05 3.6225963e-05 2.0926667e-05 1.4552291e-01
 5.4694833e-03 6.1812403e-04 1.9161387e-05]"
15252,"網管,printer,server,問題,後,QCI,研發,B2,印表機,使用",5,SAP-2X8(QSMC),7,"[7.16998102e-03 7.94075578e-02 1.58281624e-01 1.75069757e-02
 2.06238110e-04 5.94616473e-01 1.19040884e-01 2.37702969e-02]"
8525,"SAP,168,QCI,user,點選,CSAP24,後,輸入,完,帳號,密碼,卻,無,選項,點選,使用,Windows,",0,BPM平台系統,4,"[9.7689557e-01 4.1627281e-05 6.2302206e-05 3.0406876e-05 1.1874884e-02
 9.7035775e-03 1.3850086e-03 6.6526645e-06]"
5883,"SAP,168,QCI,BOM,表,ZV29I,跑,Ext",0,BPM平台系統,4,"[9.8900175e-01 2.2056458e-05 3.0827061e-05 1.3000930e-05 2.4383792e-03
 7.7814488e-03 7.0897507e-04 3.5485364e-06]"
573,"BPM,平台,系統,BPM,無法,列印,放行",3,R&D資訊系統,0,"[1.1548910e-04 1.6632560e-01 1.2826666e-01 5.0713426e-01 1.1014080e-04
 3.7022268e-03 2.7942568e-02 1.6640307e-01]"
1078,"SAP,2X8,QSMC,執行,f,28,清帳,時,帶出,外幣,調整,科目,過不去",2,GOC,5,"[0.00353707 0.1807922  0.29707828 0.0382755  0.00041395 0.22478881
 0.24629031 0.0088238 ]"
4636,"SAP,168,QCI,ECN,单号,E0,1777,E0,1778,E0,1716,E0,1734,E0,1450",0,BPM平台系統,4,"[9.84660327e-01 1.49335274e-05 2.39484034e-05 1.16630645e-05
 9.59921628e-03 5.16112847e-03 5.24082629e-04 4.72745069e-06]"
516,"BPM,平台,系統,使用,反應,上週,BPM,系統,發生,問題,時所,開立,訪客,申單,現在,無法,刪除",6,內部資訊系統,0,"[2.1319813e-03 3.7508596e-02 4.9067203e-02 4.9454283e-02 1.8624541e-04
 1.3941319e-02 8.4765232e-01 5.8138347e-05]"
7640,"SAP,168,QCI,生產,大樓,b1,TMQ1,無法,列印,3104",0,BPM平台系統,4,"[9.4490027e-01 1.8961691e-05 3.3931032e-05 1.8280658e-05 4.8449438e-02
 5.9207845e-03 6.4706773e-04 1.1288677e-05]"
3105,"SAP,2X8,QSMC,SAP268,進不去",2,GOC,5,"[2.8524774e-03 2.0018838e-01 3.2475567e-01 3.7669584e-02 3.1680655e-04
 2.4214846e-01 1.6703755e-01 2.5031067e-02]"
36211,"網管,藍屏,當機,29,出差,QSMC,藍屏,當機,回,QCI,MIS,換新,RAM,QCI,使用,OK,這次,16,現在,出差,QSMC,藍屏,當機,發現,QSMC,連上,無線,網路,容易,藍屏,當機,網路線,摸,容易,當機",5,SAP-2X8(QSMC),7,"[3.7938127e-01 3.8011980e-03 7.0679961e-03 1.0841180e-03 4.1337768e-03
 5.4145408e-01 6.2859625e-02 2.1793050e-04]"
4401,"SAP,168,QCI,user,使用,ZV05,查價,出現,錯誤,訊息,5710",0,BPM平台系統,4,"[9.8287696e-01 1.9702655e-05 3.0980846e-05 1.5210329e-05 1.0087428e-02
 6.2772608e-03 6.8725325e-04 5.2127189e-06]"
3840,"SAP,168,QCI,ZP25,無法,執行",0,BPM平台系統,4,"[9.1703373e-01 1.8088866e-05 3.3551067e-05 1.8627274e-05 7.6737121e-02
 5.5325199e-03 6.1269151e-04 1.3761310e-05]"
1278,"SAP,2X8,QSMC,欲,刪除,檔案,無,作用",2,GOC,5,"[0.00317843 0.18983892 0.3095169  0.04214982 0.00041071 0.18239668
 0.2645541  0.00795443]"
4253,"SAP,168,QCI,208,假,收假,無法,到,168",0,BPM平台系統,4,"[9.8055238e-01 2.0817793e-05 3.3122040e-05 1.6117212e-05 1.1817537e-02
 6.8529942e-03 7.0089207e-04 6.2258155e-06]"
4556,"SAP,168,QCI,無法,login,SAP23",0,BPM平台系統,4,"[9.4767630e-01 1.7543125e-05 3.1465643e-05 1.6928821e-05 4.6083845e-02
 5.5599282e-03 6.0343812e-04 1.0639286e-05]"
5348,"SAP,168,QCI,使用,搜尋,Inoice,預期,資料,不符,急件",0,BPM平台系統,4,"[9.8834956e-01 2.0437157e-05 2.9755151e-05 1.3249279e-05 3.9005242e-03
 7.0069106e-03 6.7567424e-04 3.8869866e-06]"
